Tree,Alignment Patterns,final GAMMA-based Likelihood
61,34780,-1593349.556
48,34838,-1593121.665
89,34876,-1592831.128
45,34858,-1592750.486
77,34828,-1592647.156
68,34807,-1592570.073
2,34784,-1592539.468
90,34824,-1592523.182
29,34829,-1592482.743
72,34836,-1592480.484
52,34876,-1592362.818
62,34822,-1592345.736
56,34814,-1592304.484
82,34829,-1592259.426
63,34818,-1592244.485
21,34779,-1592207.754
55,34779,-1592170.739
92,34752,-1592112.57
33,34788,-1592028.613
73,34806,-1592026.017
7,34807,-1591996.225
40,34741,-1591958.871
81,34863,-1591899.477
9,34783,-1591885.416
31,34772,-1591876.403
93,34813,-1591844.882
4,34785,-1591838.961
97,34767,-1591832.588
88,34796,-1591813.814
6,34700,-1591776.199
60,34800,-1591684.818
23,34778,-1591671.703
94,34843,-1591649.318
10,34854,-1591641.165
58,34839,-1591551.351
22,34823,-1591529.724
79,34832,-1591504.592
54,34827,-1591447.242
86,34763,-1591406.956
46,34832,-1591406.641
1,34784,-1591403.808
32,34773,-1591382.286
18,34803,-1591364.445
20,34776,-1591347.371
39,34745,-1591307.888
26,34821,-1591301.837
83,34854,-1591233.325
5,34853,-1591173.601
69,34775,-1591069.954
11,34795,-1591031.72
65,34854,-1591004.844
34,34799,-1591004.484
37,34830,-1591002.51
66,34765,-1590958.674
8,34796,-1590940.391
16,34789,-1590911.551
15,34755,-1590903.515
24,34775,-1590900.1
25,34807,-1590896.131
64,34756,-1590856.713
43,34767,-1590826.596
91,34850,-1590825.674
95,34700,-1590814.953
75,34813,-1590810.901
85,34791,-1590809.045
53,34898,-1590757.547
80,34816,-1590671.237
28,34793,-1590642.09
57,34790,-1590496.877
78,34732,-1590477.894
35,34834,-1590446.694
44,34762,-1590437.614
14,34816,-1590416.524
59,34797,-1590375.666
76,34728,-1590353.528
51,34809,-1590240.635
71,34766,-1590200.085
3,34742,-1590189.81
99,34812,-1590181.022
41,34774,-1590154.814
100,34775,-1590079.105
13,34774,-1590051.711
98,34765,-1590028.617
96,34750,-1589971.482
67,34798,-1589945.103
74,34713,-1589943.509
27,34799,-1589923.861
84,34824,-1589745.463
17,34670,-1589596.56
47,34739,-1589558.335
38,34796,-1589526.633
87,34742,-1589513.896
49,34801,-1589485.511
30,34769,-1589481.047
50,34792,-1589383.639
12,34777,-1589353.323
19,34771,-1589336.236
70,34797,-1588996.898
42,34737,-1588737.181
36,34775,-1588316.132
